"date","item_id","total_daily"
"2015-04-26","FOODS_3_090",681
"2015-04-26","FOODS_3_202",244
"2015-04-26","FOODS_3_226",164
"2015-04-26","FOODS_3_252",311
"2015-04-26","FOODS_3_555",236
"2015-04-26","FOODS_3_586",465
"2015-04-26","FOODS_3_587",290
"2015-04-26","FOODS_3_694",182
"2015-04-26","FOODS_3_714",169
"2015-04-26","FOODS_3_723",161
"2015-04-27","FOODS_3_090",473
"2015-04-27","FOODS_3_202",201
"2015-04-27","FOODS_3_226",146
"2015-04-27","FOODS_3_252",240
"2015-04-27","FOODS_3_555",151
"2015-04-27","FOODS_3_586",375
"2015-04-27","FOODS_3_587",204
"2015-04-27","FOODS_3_694",135
"2015-04-27","FOODS_3_714",118
"2015-04-27","FOODS_3_723",133
"2015-04-28","FOODS_3_090",399
"2015-04-28","FOODS_3_202",135
"2015-04-28","FOODS_3_226",131
"2015-04-28","FOODS_3_252",187
"2015-04-28","FOODS_3_555",127
"2015-04-28","FOODS_3_586",365
"2015-04-28","FOODS_3_587",209
"2015-04-28","FOODS_3_694",146
"2015-04-28","FOODS_3_714",106
"2015-04-28","FOODS_3_723",90
"2015-04-29","FOODS_3_090",457
"2015-04-29","FOODS_3_202",131
"2015-04-29","FOODS_3_226",136
"2015-04-29","FOODS_3_252",207
"2015-04-29","FOODS_3_555",151
"2015-04-29","FOODS_3_586",324
"2015-04-29","FOODS_3_587",181
"2015-04-29","FOODS_3_694",112
"2015-04-29","FOODS_3_714",128
"2015-04-29","FOODS_3_723",126
"2015-04-30","FOODS_3_090",565
"2015-04-30","FOODS_3_202",137
"2015-04-30","FOODS_3_226",134
"2015-04-30","FOODS_3_252",262
"2015-04-30","FOODS_3_555",171
"2015-04-30","FOODS_3_586",369
"2015-04-30","FOODS_3_587",160
"2015-04-30","FOODS_3_694",144
"2015-04-30","FOODS_3_714",170
"2015-04-30","FOODS_3_723",181
"2015-05-01","FOODS_3_090",833
"2015-05-01","FOODS_3_202",208
"2015-05-01","FOODS_3_226",178
"2015-05-01","FOODS_3_252",381
"2015-05-01","FOODS_3_555",220
"2015-05-01","FOODS_3_586",482
"2015-05-01","FOODS_3_587",199
"2015-05-01","FOODS_3_694",208
"2015-05-01","FOODS_3_714",213
"2015-05-01","FOODS_3_723",254
"2015-05-02","FOODS_3_090",1150
"2015-05-02","FOODS_3_202",326
"2015-05-02","FOODS_3_226",231
"2015-05-02","FOODS_3_252",393
"2015-05-02","FOODS_3_555",229
"2015-05-02","FOODS_3_586",541
"2015-05-02","FOODS_3_587",259
"2015-05-02","FOODS_3_694",268
"2015-05-02","FOODS_3_714",213
"2015-05-02","FOODS_3_723",406
"2015-05-03","FOODS_3_090",674
"2015-05-03","FOODS_3_202",253
"2015-05-03","FOODS_3_226",199
"2015-05-03","FOODS_3_252",365
"2015-05-03","FOODS_3_555",225
"2015-05-03","FOODS_3_586",501
"2015-05-03","FOODS_3_587",337
"2015-05-03","FOODS_3_694",221
"2015-05-03","FOODS_3_714",240
"2015-05-03","FOODS_3_723",176
"2015-05-04","FOODS_3_090",532
"2015-05-04","FOODS_3_202",164
"2015-05-04","FOODS_3_226",153
"2015-05-04","FOODS_3_252",231
"2015-05-04","FOODS_3_555",152
"2015-05-04","FOODS_3_586",382
"2015-05-04","FOODS_3_587",282
"2015-05-04","FOODS_3_694",163
"2015-05-04","FOODS_3_714",173
"2015-05-04","FOODS_3_723",104
"2015-05-05","FOODS_3_090",495
"2015-05-05","FOODS_3_202",164
"2015-05-05","FOODS_3_226",136
"2015-05-05","FOODS_3_252",209
"2015-05-05","FOODS_3_555",167
"2015-05-05","FOODS_3_586",329
"2015-05-05","FOODS_3_587",282
"2015-05-05","FOODS_3_694",158
"2015-05-05","FOODS_3_714",130
"2015-05-05","FOODS_3_723",135
"2015-05-06","FOODS_3_090",485
"2015-05-06","FOODS_3_202",148
"2015-05-06","FOODS_3_226",145
"2015-05-06","FOODS_3_252",230
"2015-05-06","FOODS_3_555",163
"2015-05-06","FOODS_3_586",413
"2015-05-06","FOODS_3_587",275
"2015-05-06","FOODS_3_694",155
"2015-05-06","FOODS_3_714",133
"2015-05-06","FOODS_3_723",114
"2015-05-07","FOODS_3_090",534
"2015-05-07","FOODS_3_202",169
"2015-05-07","FOODS_3_226",170
"2015-05-07","FOODS_3_252",234
"2015-05-07","FOODS_3_555",171
"2015-05-07","FOODS_3_586",377
"2015-05-07","FOODS_3_587",241
"2015-05-07","FOODS_3_694",204
"2015-05-07","FOODS_3_714",161
"2015-05-07","FOODS_3_723",152
"2015-05-08","FOODS_3_090",732
"2015-05-08","FOODS_3_202",190
"2015-05-08","FOODS_3_226",201
"2015-05-08","FOODS_3_252",294
"2015-05-08","FOODS_3_555",191
"2015-05-08","FOODS_3_586",465
"2015-05-08","FOODS_3_587",225
"2015-05-08","FOODS_3_694",216
"2015-05-08","FOODS_3_714",225
"2015-05-08","FOODS_3_723",209
"2015-05-09","FOODS_3_090",957
"2015-05-09","FOODS_3_202",240
"2015-05-09","FOODS_3_226",240
"2015-05-09","FOODS_3_252",399
"2015-05-09","FOODS_3_555",268
"2015-05-09","FOODS_3_586",575
"2015-05-09","FOODS_3_587",309
"2015-05-09","FOODS_3_694",264
"2015-05-09","FOODS_3_714",267
"2015-05-09","FOODS_3_723",234
"2015-05-10","FOODS_3_090",762
"2015-05-10","FOODS_3_202",258
"2015-05-10","FOODS_3_226",182
"2015-05-10","FOODS_3_252",281
"2015-05-10","FOODS_3_555",210
"2015-05-10","FOODS_3_586",592
"2015-05-10","FOODS_3_587",276
"2015-05-10","FOODS_3_694",218
"2015-05-10","FOODS_3_714",179
"2015-05-10","FOODS_3_723",214
"2015-05-11","FOODS_3_090",428
"2015-05-11","FOODS_3_202",167
"2015-05-11","FOODS_3_226",164
"2015-05-11","FOODS_3_252",230
"2015-05-11","FOODS_3_555",196
"2015-05-11","FOODS_3_586",440
"2015-05-11","FOODS_3_587",313
"2015-05-11","FOODS_3_694",166
"2015-05-11","FOODS_3_714",133
"2015-05-11","FOODS_3_723",111
"2015-05-12","FOODS_3_090",594
"2015-05-12","FOODS_3_202",157
"2015-05-12","FOODS_3_226",123
"2015-05-12","FOODS_3_252",194
"2015-05-12","FOODS_3_555",166
"2015-05-12","FOODS_3_586",382
"2015-05-12","FOODS_3_587",267
"2015-05-12","FOODS_3_694",152
"2015-05-12","FOODS_3_714",129
"2015-05-12","FOODS_3_723",154
"2015-05-13","FOODS_3_090",543
"2015-05-13","FOODS_3_202",106
"2015-05-13","FOODS_3_226",117
"2015-05-13","FOODS_3_252",199
"2015-05-13","FOODS_3_555",174
"2015-05-13","FOODS_3_586",381
"2015-05-13","FOODS_3_587",222
"2015-05-13","FOODS_3_694",160
"2015-05-13","FOODS_3_714",137
"2015-05-13","FOODS_3_723",156
"2015-05-14","FOODS_3_090",0
"2015-05-14","FOODS_3_202",176
"2015-05-14","FOODS_3_226",147
"2015-05-14","FOODS_3_252",240
"2015-05-14","FOODS_3_555",147
"2015-05-14","FOODS_3_586",386
"2015-05-14","FOODS_3_587",223
"2015-05-14","FOODS_3_694",152
"2015-05-14","FOODS_3_714",132
"2015-05-14","FOODS_3_723",0
"2015-05-15","FOODS_3_090",0
"2015-05-15","FOODS_3_202",180
"2015-05-15","FOODS_3_226",166
"2015-05-15","FOODS_3_252",239
"2015-05-15","FOODS_3_555",208
"2015-05-15","FOODS_3_586",451
"2015-05-15","FOODS_3_587",256
"2015-05-15","FOODS_3_694",196
"2015-05-15","FOODS_3_714",173
"2015-05-15","FOODS_3_723",0
"2015-05-16","FOODS_3_090",0
"2015-05-16","FOODS_3_202",174
"2015-05-16","FOODS_3_226",228
"2015-05-16","FOODS_3_252",356
"2015-05-16","FOODS_3_555",265
"2015-05-16","FOODS_3_586",559
"2015-05-16","FOODS_3_587",297
"2015-05-16","FOODS_3_694",230
"2015-05-16","FOODS_3_714",276
"2015-05-16","FOODS_3_723",0
"2015-05-17","FOODS_3_090",1
"2015-05-17","FOODS_3_202",210
"2015-05-17","FOODS_3_226",204
"2015-05-17","FOODS_3_252",325
"2015-05-17","FOODS_3_555",224
"2015-05-17","FOODS_3_586",490
"2015-05-17","FOODS_3_587",282
"2015-05-17","FOODS_3_694",201
"2015-05-17","FOODS_3_714",247
"2015-05-17","FOODS_3_723",0
"2015-05-18","FOODS_3_090",0
"2015-05-18","FOODS_3_202",124
"2015-05-18","FOODS_3_226",132
"2015-05-18","FOODS_3_252",214
"2015-05-18","FOODS_3_555",186
"2015-05-18","FOODS_3_586",382
"2015-05-18","FOODS_3_587",207
"2015-05-18","FOODS_3_694",179
"2015-05-18","FOODS_3_714",164
"2015-05-18","FOODS_3_723",0
"2015-05-19","FOODS_3_090",3
"2015-05-19","FOODS_3_202",116
"2015-05-19","FOODS_3_226",137
"2015-05-19","FOODS_3_252",209
"2015-05-19","FOODS_3_555",134
"2015-05-19","FOODS_3_586",358
"2015-05-19","FOODS_3_587",233
"2015-05-19","FOODS_3_694",128
"2015-05-19","FOODS_3_714",135
"2015-05-19","FOODS_3_723",2
"2015-05-20","FOODS_3_090",0
"2015-05-20","FOODS_3_202",137
"2015-05-20","FOODS_3_226",146
"2015-05-20","FOODS_3_252",215
"2015-05-20","FOODS_3_555",157
"2015-05-20","FOODS_3_586",335
"2015-05-20","FOODS_3_587",242
"2015-05-20","FOODS_3_694",147
"2015-05-20","FOODS_3_714",134
"2015-05-20","FOODS_3_723",0
"2015-05-21","FOODS_3_090",4
"2015-05-21","FOODS_3_202",125
"2015-05-21","FOODS_3_226",159
"2015-05-21","FOODS_3_252",233
"2015-05-21","FOODS_3_555",184
"2015-05-21","FOODS_3_586",391
"2015-05-21","FOODS_3_587",200
"2015-05-21","FOODS_3_694",154
"2015-05-21","FOODS_3_714",158
"2015-05-21","FOODS_3_723",0
"2015-05-22","FOODS_3_090",1
"2015-05-22","FOODS_3_202",161
"2015-05-22","FOODS_3_226",174
"2015-05-22","FOODS_3_252",246
"2015-05-22","FOODS_3_555",203
"2015-05-22","FOODS_3_586",352
"2015-05-22","FOODS_3_587",187
"2015-05-22","FOODS_3_694",208
"2015-05-22","FOODS_3_714",169
"2015-05-22","FOODS_3_723",0
"2015-05-23","FOODS_3_090",0
"2015-05-23","FOODS_3_202",211
"2015-05-23","FOODS_3_226",201
"2015-05-23","FOODS_3_252",413
"2015-05-23","FOODS_3_555",247
"2015-05-23","FOODS_3_586",499
"2015-05-23","FOODS_3_587",230
"2015-05-23","FOODS_3_694",229
"2015-05-23","FOODS_3_714",241
"2015-05-23","FOODS_3_723",0
"2015-05-24","FOODS_3_090",3
"2015-05-24","FOODS_3_202",231
"2015-05-24","FOODS_3_226",171
"2015-05-24","FOODS_3_252",272
"2015-05-24","FOODS_3_555",199
"2015-05-24","FOODS_3_586",484
"2015-05-24","FOODS_3_587",269
"2015-05-24","FOODS_3_694",180
"2015-05-24","FOODS_3_714",198
"2015-05-24","FOODS_3_723",1
"2015-05-25","FOODS_3_090",2
"2015-05-25","FOODS_3_202",235
"2015-05-25","FOODS_3_226",190
"2015-05-25","FOODS_3_252",263
"2015-05-25","FOODS_3_555",175
"2015-05-25","FOODS_3_586",426
"2015-05-25","FOODS_3_587",254
"2015-05-25","FOODS_3_694",188
"2015-05-25","FOODS_3_714",176
"2015-05-25","FOODS_3_723",0
"2015-05-26","FOODS_3_090",2
"2015-05-26","FOODS_3_202",117
"2015-05-26","FOODS_3_226",141
"2015-05-26","FOODS_3_252",198
"2015-05-26","FOODS_3_555",139
"2015-05-26","FOODS_3_586",346
"2015-05-26","FOODS_3_587",202
"2015-05-26","FOODS_3_694",142
"2015-05-26","FOODS_3_714",131
"2015-05-26","FOODS_3_723",0
"2015-05-27","FOODS_3_090",0
"2015-05-27","FOODS_3_202",126
"2015-05-27","FOODS_3_226",167
"2015-05-27","FOODS_3_252",191
"2015-05-27","FOODS_3_555",165
"2015-05-27","FOODS_3_586",336
"2015-05-27","FOODS_3_587",232
"2015-05-27","FOODS_3_694",146
"2015-05-27","FOODS_3_714",152
"2015-05-27","FOODS_3_723",0
"2015-05-28","FOODS_3_090",1
"2015-05-28","FOODS_3_202",116
"2015-05-28","FOODS_3_226",162
"2015-05-28","FOODS_3_252",250
"2015-05-28","FOODS_3_555",153
"2015-05-28","FOODS_3_586",377
"2015-05-28","FOODS_3_587",220
"2015-05-28","FOODS_3_694",171
"2015-05-28","FOODS_3_714",167
"2015-05-28","FOODS_3_723",0
"2015-05-29","FOODS_3_090",0
"2015-05-29","FOODS_3_202",143
"2015-05-29","FOODS_3_226",162
"2015-05-29","FOODS_3_252",281
"2015-05-29","FOODS_3_555",186
"2015-05-29","FOODS_3_586",427
"2015-05-29","FOODS_3_587",233
"2015-05-29","FOODS_3_694",164
"2015-05-29","FOODS_3_714",205
"2015-05-29","FOODS_3_723",0
"2015-05-30","FOODS_3_090",1
"2015-05-30","FOODS_3_202",166
"2015-05-30","FOODS_3_226",165
"2015-05-30","FOODS_3_252",371
"2015-05-30","FOODS_3_555",239
"2015-05-30","FOODS_3_586",463
"2015-05-30","FOODS_3_587",259
"2015-05-30","FOODS_3_694",189
"2015-05-30","FOODS_3_714",222
"2015-05-30","FOODS_3_723",0
"2015-05-31","FOODS_3_090",0
"2015-05-31","FOODS_3_202",256
"2015-05-31","FOODS_3_226",169
"2015-05-31","FOODS_3_252",363
"2015-05-31","FOODS_3_555",223
"2015-05-31","FOODS_3_586",476
"2015-05-31","FOODS_3_587",287
"2015-05-31","FOODS_3_694",207
"2015-05-31","FOODS_3_714",210
"2015-05-31","FOODS_3_723",0
"2015-06-01","FOODS_3_090",4
"2015-06-01","FOODS_3_202",188
"2015-06-01","FOODS_3_226",171
"2015-06-01","FOODS_3_252",278
"2015-06-01","FOODS_3_555",194
"2015-06-01","FOODS_3_586",483
"2015-06-01","FOODS_3_587",303
"2015-06-01","FOODS_3_694",194
"2015-06-01","FOODS_3_714",190
"2015-06-01","FOODS_3_723",0
"2015-06-02","FOODS_3_090",0
"2015-06-02","FOODS_3_202",148
"2015-06-02","FOODS_3_226",169
"2015-06-02","FOODS_3_252",222
"2015-06-02","FOODS_3_555",205
"2015-06-02","FOODS_3_586",375
"2015-06-02","FOODS_3_587",280
"2015-06-02","FOODS_3_694",149
"2015-06-02","FOODS_3_714",179
"2015-06-02","FOODS_3_723",0
"2015-06-03","FOODS_3_090",3
"2015-06-03","FOODS_3_202",167
"2015-06-03","FOODS_3_226",205
"2015-06-03","FOODS_3_252",269
"2015-06-03","FOODS_3_555",162
"2015-06-03","FOODS_3_586",467
"2015-06-03","FOODS_3_587",236
"2015-06-03","FOODS_3_694",184
"2015-06-03","FOODS_3_714",170
"2015-06-03","FOODS_3_723",0
"2015-06-04","FOODS_3_090",0
"2015-06-04","FOODS_3_202",158
"2015-06-04","FOODS_3_226",176
"2015-06-04","FOODS_3_252",296
"2015-06-04","FOODS_3_555",182
"2015-06-04","FOODS_3_586",460
"2015-06-04","FOODS_3_587",231
"2015-06-04","FOODS_3_694",197
"2015-06-04","FOODS_3_714",225
"2015-06-04","FOODS_3_723",0
"2015-06-05","FOODS_3_090",1
"2015-06-05","FOODS_3_202",194
"2015-06-05","FOODS_3_226",213
"2015-06-05","FOODS_3_252",332
"2015-06-05","FOODS_3_555",216
"2015-06-05","FOODS_3_586",459
"2015-06-05","FOODS_3_587",270
"2015-06-05","FOODS_3_694",231
"2015-06-05","FOODS_3_714",216
"2015-06-05","FOODS_3_723",0
"2015-06-06","FOODS_3_090",2
"2015-06-06","FOODS_3_202",264
"2015-06-06","FOODS_3_226",239
"2015-06-06","FOODS_3_252",448
"2015-06-06","FOODS_3_555",261
"2015-06-06","FOODS_3_586",569
"2015-06-06","FOODS_3_587",310
"2015-06-06","FOODS_3_694",235
"2015-06-06","FOODS_3_714",281
"2015-06-06","FOODS_3_723",0
"2015-06-07","FOODS_3_090",0
"2015-06-07","FOODS_3_202",318
"2015-06-07","FOODS_3_226",217
"2015-06-07","FOODS_3_252",420
"2015-06-07","FOODS_3_555",235
"2015-06-07","FOODS_3_586",583
"2015-06-07","FOODS_3_587",357
"2015-06-07","FOODS_3_694",262
"2015-06-07","FOODS_3_714",285
"2015-06-07","FOODS_3_723",0
"2015-06-08","FOODS_3_090",0
"2015-06-08","FOODS_3_202",2
"2015-06-08","FOODS_3_226",208
"2015-06-08","FOODS_3_252",428
"2015-06-08","FOODS_3_555",223
"2015-06-08","FOODS_3_586",486
"2015-06-08","FOODS_3_587",349
"2015-06-08","FOODS_3_694",217
"2015-06-08","FOODS_3_714",223
"2015-06-08","FOODS_3_723",0
"2015-06-09","FOODS_3_090",1
"2015-06-09","FOODS_3_202",0
"2015-06-09","FOODS_3_226",223
"2015-06-09","FOODS_3_252",288
"2015-06-09","FOODS_3_555",200
"2015-06-09","FOODS_3_586",479
"2015-06-09","FOODS_3_587",322
"2015-06-09","FOODS_3_694",196
"2015-06-09","FOODS_3_714",195
"2015-06-09","FOODS_3_723",0
"2015-06-10","FOODS_3_090",0
"2015-06-10","FOODS_3_202",0
"2015-06-10","FOODS_3_226",181
"2015-06-10","FOODS_3_252",286
"2015-06-10","FOODS_3_555",210
"2015-06-10","FOODS_3_586",439
"2015-06-10","FOODS_3_587",294
"2015-06-10","FOODS_3_694",198
"2015-06-10","FOODS_3_714",231
"2015-06-10","FOODS_3_723",0
"2015-06-11","FOODS_3_090",3
"2015-06-11","FOODS_3_202",0
"2015-06-11","FOODS_3_226",160
"2015-06-11","FOODS_3_252",265
"2015-06-11","FOODS_3_555",202
"2015-06-11","FOODS_3_586",466
"2015-06-11","FOODS_3_587",265
"2015-06-11","FOODS_3_694",169
"2015-06-11","FOODS_3_714",217
"2015-06-11","FOODS_3_723",296
"2015-06-12","FOODS_3_090",9
"2015-06-12","FOODS_3_202",0
"2015-06-12","FOODS_3_226",191
"2015-06-12","FOODS_3_252",400
"2015-06-12","FOODS_3_555",250
"2015-06-12","FOODS_3_586",586
"2015-06-12","FOODS_3_587",321
"2015-06-12","FOODS_3_694",206
"2015-06-12","FOODS_3_714",221
"2015-06-12","FOODS_3_723",326
"2015-06-13","FOODS_3_090",0
"2015-06-13","FOODS_3_202",0
"2015-06-13","FOODS_3_226",181
"2015-06-13","FOODS_3_252",475
"2015-06-13","FOODS_3_555",228
"2015-06-13","FOODS_3_586",546
"2015-06-13","FOODS_3_587",311
"2015-06-13","FOODS_3_694",233
"2015-06-13","FOODS_3_714",225
"2015-06-13","FOODS_3_723",385
"2015-06-14","FOODS_3_090",934
"2015-06-14","FOODS_3_202",1
"2015-06-14","FOODS_3_226",198
"2015-06-14","FOODS_3_252",446
"2015-06-14","FOODS_3_555",234
"2015-06-14","FOODS_3_586",553
"2015-06-14","FOODS_3_587",397
"2015-06-14","FOODS_3_694",227
"2015-06-14","FOODS_3_714",297
"2015-06-14","FOODS_3_723",253
"2015-06-15","FOODS_3_090",683
"2015-06-15","FOODS_3_202",1
"2015-06-15","FOODS_3_226",215
"2015-06-15","FOODS_3_252",337
"2015-06-15","FOODS_3_555",208
"2015-06-15","FOODS_3_586",432
"2015-06-15","FOODS_3_587",488
"2015-06-15","FOODS_3_694",164
"2015-06-15","FOODS_3_714",200
"2015-06-15","FOODS_3_723",208
"2015-06-16","FOODS_3_090",413
"2015-06-16","FOODS_3_202",7
"2015-06-16","FOODS_3_226",158
"2015-06-16","FOODS_3_252",206
"2015-06-16","FOODS_3_555",183
"2015-06-16","FOODS_3_586",370
"2015-06-16","FOODS_3_587",266
"2015-06-16","FOODS_3_694",145
"2015-06-16","FOODS_3_714",159
"2015-06-16","FOODS_3_723",143
